tower_id   , tower_location           , latitude, longitude, coverage_radius_km, state  , city     , tower_type, provider, calls_originated_count, high_risk_calls, suspected_operation_type, investigation_priority
GGN-HRX-025, Haryana Extn             ,  28.431 ,   77.15  ,                2.1, Haryana, Gurgaon  , MICRO     , Jio     ,                      1,               0, ORDINARY_TOWER          , LOW
GGN-SKY-026, Sky Plaza                ,  28.414 ,   77.165 ,                2.0, Haryana, Gurgaon  , MICRO     , Airtel  ,                      1,               0, ORDINARY_TOWER          , LOW
FBD-S16-026, Faridabad Sector 16      ,  28.3847,   77.3189,                2.4, Haryana, Faridabad, MICRO     , Vodafone,                      1,               0, ORDINARY_TOWER          , LOW
FBD-S32-027, Faridabad Sector 32      ,  28.365 ,   77.335 ,                2.3, Haryana, Faridabad, MICRO     , Jio     ,                      1,               0, ORDINARY_TOWER          , LOW
FBD-S64-028, Faridabad Sector 64      ,  28.348 ,   77.35  ,                2.2, Haryana, Faridabad, MICRO     , Airtel  ,                      1,               0, ORDINARY_TOWER          , LOW
FBD-IND-029, FBD Industrial           ,  28.332 ,   77.365 ,                2.1, Haryana, Faridabad, MICRO     , Vodafone,                      2,               0, ORDINARY_TOWER          , LOW
GZB-IND-029, Ghaziabad Indirapuram    ,  28.6547,   77.4389,                2.5, UP     , Ghaziabad, MICRO     , Jio     ,                      2,               0, ORDINARY_TOWER          , LOW
GZB-VAP-030, Vaishali                 ,  28.643 ,   77.45  ,                2.4, UP     , Ghaziabad, MICRO     , Airtel  ,                      0,               0, ORDINARY_TOWER          , LOW
GZB-GZB-031, Ghaziabad Central        ,  28.621 ,   77.465 ,                2.3, UP     , Ghaziabad, MICRO     , Vodafone,                      0,               0, ORDINARY_TOWER          , LOW
GZB-KAN-032, Kanan Garden             ,  28.605 ,   77.48  ,                2.2, UP     , Ghaziabad, MICRO     , Jio     ,                      0,               0, ORDINARY_TOWER          , LOW
